District/Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Ludhiana,1219,1247,1181,1119,1137,1169,1094,1133,1206,1135,1133,1084,1130,1144,1047,1020,916,939,856,789,899,818,743,868,909,877,827,826,871,606,730,803,694,610,596,524,454,356,313,249,175,87,51,57,34,28,17,9,6,4,4
Ferozepur,842,791,729,733,766,1057,889,954,964,1051,1010,948,956,941,903,824,864,898,982,922,909,811,783,908,810,802,760,728,711,543,689,706,644,628,537,539,520,413,417,429,376,256,272,210,205,156,157,116,88,68,53
Fazilka,355,391,298,297,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,511,468,435,421,443,444,405,409,414,414,351,338,339,337,308,280,268,310,305,246,214,169,140,621,625,547,559,504,500,414,472,510,479,417,409,335,301,242,204,226,159,118,87,80,64,40,NA,NA,NA,NA,NA
Sri Muktsar Sahib,687,699,667,514,457,471,402,432,387,402,283,272,298,334,328,261,239,309,292,221,76,66,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,869,816,871,815,815,794,759,745,812,800,749,711,735,731,667,568,579,596,393,413,429,387,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,747,689,621,529,501,458,409,437,476,427,368,358,385,415,419,367,307,350,342,287,212,159,144,196,178,120,229,173,153,95,127,151,153,185,96,47,36,28,32,20,9,5,3,4,2,2,6,3,1,1,1
Mansa,499,442,363,296,334,321,292,316,324,296,252,259,291,307,299,267,242,306,291,215,220,193,167,201,165,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,1442,1355,1334,1281,1290,1299,1188,1185,1273,1233,1207,1185,1625,1710,1566,1429,1362,1342,1282,1262,1277,1163,1091,1188,1282,1137,1064,1060,1065,721,872,846,747,619,596,506,370,336,318,268,186,104,61,47,44,31,33,15,17,11,11
Barnala,565,516,511,507,500,490,459,465,496,485,466,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,1001,984,910,904,959,922,903,873,1021,1009,999,989,940,965,950,818,908,857,815,772,792,768,695,816,831,746,942,940,967,778,827,897,819,737,723,751,644,583,531,531,468,346,251,199,189,162,171,103,77,71,66
Fatehgarh Sahib,395,405,384,374,351,384,364,349,391,363,383,340,361,371,364,312,324,350,302,271,302,283,265,283,303,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,13377,12638,11806,11107,11267,11374,10542,10819,11236,11000,10489,10138,10193,10437,9656,8880,8824,9157,8716,7993,7890,7334,6845,7702,7645,7031,6748,6511,6680,4923,5442,6095,5483,5044,4539,4156,3743,3234,3052,3092,2491,1776,1450,1178,1189,955,920,688,535,470,415
